,UUID,Name,Manufacturer,Protocols Referenced,Verified
794079,UiPhCZIBPBHhf-iFtEzJ,vero e6,Thermo Fisher Scientific,66,No
867135,xCPhCZIBPBHhf-iFqyOY,gapdh d16h11,Cell Signaling Technology,66,No
753854,wyfiCZIBPBHhf-iFJMsS,abi 7500 fast instrument,Thermo Fisher Scientific,66,No
552091,DybiCZIBPBHhf-iFDWYc,rstudio version,Posit,66,No
239179,RijiCZIBPBHhf-iFN_gg,cisplatin,Thermo Fisher Scientific,66,No
841969,myLhCZIBPBHhf-iFeO0t,g box chemi xt4,Syngene,66,No
582194,6iXhCZIBPBHhf-iF-6OD,typhoon 9400 scanner,GE Healthcare,66,No
787880,DiPhCZIBPBHhf-iFtE7J,pcdna3.1 vector,GenScript,66,No
731844,MCbiCZIBPBHhf-iFFc-G,nmr suite,Chenomx,66,No
731660,RCLhCZIBPBHhf-iFnfgu,toxineraser endotoxin removal kit,GenScript,66,No
752052,HyXhCZIBPBHhf-iF7gPq,magpix,Merck Group,66,No
428371,KybiCZIBPBHhf-iFErNH,spss statistical package version 19,IBM,66,No
601857,SyThCZIBPBHhf-iF68yA,protein carbonyl colorimetric assay kit,Cayman Chemical,66,No
795647,2ybiCZIBPBHhf-iFGPsK,ezdnase,Thermo Fisher Scientific,66,No
643588,DSPhCZIBPBHhf-iFy9bk,ly6g 1a8,BioLegend,66,No
640696,GyPhCZIBPBHhf-iFxqY_,stepone real time system,Thermo Fisher Scientific,66,No
799687,2SXhCZIBPBHhf-iF-GOS,aanalyst 600,PerkinElmer,66,No
744578,vCXiCZIBPBHhf-iFAfeL,jsm 840,JEOL,66,No
893850,syThCZIBPBHhf-iF7vzp,horseradish peroxidase,Cytiva,66,No
871080,1yPhCZIBPBHhf-iFxpg-,nano glo luciferase assay,Promega,66,No
298322,LSbiCZIBPBHhf-iFDXAd,2 brpa,Merck Group,66,No
592103,CiXhCZIBPBHhf-iF7g7s,35 mm glass bottomed dishes,MatTek,66,No
750861,JSThCZIBPBHhf-iF2k6i,uv visible spectrophotometer,Agilent Technologies,66,No
223688,9SLhCZIBPBHhf-iFePAt,ab150681,Abcam,66,No
640439,qSPhCZIBPBHhf-iFqyGY,pegfp n1 plasmid,Takara Bio,66,No
755222,yyPhCZIBPBHhf-iFtEjI,cellfectin,Thermo Fisher Scientific,66,No
574287,1SbiCZIBPBHhf-iFBAdM,magna pure lc 2,Roche,66,No
792440,8iXhCZIBPBHhf-iF-HCT,phrodo red,Thermo Fisher Scientific,66,No
585017,EyThCZIBPBHhf-iF7vrp,p ampkα thr172,Cell Signaling Technology,66,No
873307,DyLhCZIBPBHhf-iFeOYs,easyscript one step gdna removal and cdna synthesis supermix kit,Transgene,66,No
791407,sCThCZIBPBHhf-iF6-2G,yeast nitrogen base,BD,66,No
868444,OSPhCZIBPBHhf-iFtEvI,fls980 spectrometer,Edinburgh Instruments,66,No
797108,SiPhCZIBPBHhf-iFy9nk,p8139,Merck Group,66,No
866957,nyPhCZIBPBHhf-iFqx2X,zetasizer instrument,Malvern Panalytical,66,No
794408,ESThCZIBPBHhf-iF1Rq6,advanced rpmi 1640,Thermo Fisher Scientific,66,No
481984,7CXhCZIBPBHhf-iF9Vag,fibroscan 502,Echosens,66,No
578381,HiriCZIBPBHhf-iFSDa0,sep pak tc18 cartridge,Waters Corporation,66,No
869296,dyPhCZIBPBHhf-iFtGXM,donkey anti rabbit igg,Jackson ImmunoResearch,66,No
580549,6yXhCZIBPBHhf-iF_tNy,cd3 fitc,Thermo Fisher Scientific,66,No
873328,DiLhCZIBPBHhf-iFeOcs,orca flash4.0 lt,Hamamatsu Photonics,66,No
794920,JSbiCZIBPBHhf-iFFeOI,slowfade gold antifade mountant,Thermo Fisher Scientific,66,No
217119,SyThCZIBPBHhf-iF2jKe,jf 260v,Olympus,66,No
743897,ViThCZIBPBHhf-iF696D,ultracruz mounting medium,Santa Cruz Biotechnology,66,No
801780,ryThCZIBPBHhf-iF2juf,te300 microscope,Nikon,66,No
573422,vijiCZIBPBHhf-iFKRUB,gelcode blue,Thermo Fisher Scientific,66,No
643314,RSPhCZIBPBHhf-iFy87j,noti hf,New England Biolabs,66,No
592926,MyjiCZIBPBHhf-iFL3zq,nupage bis tris mini gel,Thermo Fisher Scientific,66,No
755811,nSXhCZIBPBHhf-iF-GmT,edta solution,Merck Group,66,No
731752,iCPhCZIBPBHhf-iFxpQ9,cfx96 qpcr instrument,Bio-Rad,66,No
753136,6SPhCZIBPBHhf-iFtEDG,peptone water,Merck Group,66,No
779608,MCThCZIBPBHhf-iF1Rq6,colorimetric assay,Abcam,66,No
878456,dCPhCZIBPBHhf-iFxqk_,anti gapdh 10494 1 ap,Proteintech,66,No
648148,OSLhCZIBPBHhf-iFnfcu,msd chemstation,Agilent Technologies,66,No
731165,-yPhCZIBPBHhf-iFtE3J,l isoleucine,Merck Group,66,No
486892,pp3FHJMBdNj1hjtAk3aJ,phenyl methyl sulfonyl fluoride (pmsf),Keygen Biotech,66,No
778863,MCPhCZIBPBHhf-iFy8vj,iblot transfer stack,Thermo Fisher Scientific,66,No
579820,mCviCZIBPBHhf-iFVRba,live dead blue,Thermo Fisher Scientific,66,No
730092,xyPhCZIBPBHhf-iFxqM_,gelgreen,Biotium,66,No
638160,GyXhCZIBPBHhf-iF-5aC,facscanto analyzer,BD,66,No
456440,HiThCZIBPBHhf-iF2j2g,clarus 580,PerkinElmer,66,No
591993,MCPhCZIBPBHhf-iFxq1A,1450 microbeta trilux,PerkinElmer,66,No
877792,NiPhCZIBPBHhf-iF0egx,xpert mtb rif assay,Cepheid,66,No
780672,KSXhCZIBPBHhf-iF-5GB,intralipid,Merck Group,66,No
454571,riPhCZIBPBHhf-iFqy6Z,magnetic cell sorting,Miltenyi Biotec,66,No
873329,DyLhCZIBPBHhf-iFeOcs,hcimage software,Hamamatsu Photonics,66,No
778882,BijiCZIBPBHhf-iFMrg5,lipofectamine ltx transfection reagent,Thermo Fisher Scientific,66,No
743815,fiThCZIBPBHhf-iF69WC,lr white resin,Merck Group,66,No
484250,FSThCZIBPBHhf-iF2k2i,3 mercaptopropyl trimethoxysilane,Merck Group,66,No
779103,wyXhCZIBPBHhf-iF-HGT,pen membrane slide,Leica,66,No
759988,nybiCZIBPBHhf-iFBzka,phyml 3,Phygene,66,No
782309,OSXhCZIBPBHhf-iF8jqA,fluorescent secondary antibody,Jackson ImmunoResearch,66,No
744265,ACXhCZIBPBHhf-iF7gnr,acetyl coa carboxylase,Cell Signaling Technology,66,No
740127,YyThCZIBPBHhf-iF2kqi,phosphorimager,Bio-Rad,66,No
574252,NCXhCZIBPBHhf-iF7gXr,polycaprolactone pcl,Merck Group,66,No
878975,7SThCZIBPBHhf-iF1QS4,hoechst 33258,Solarbio,66,No
754951,kDXiCZIBPBHhf-iF4HuS,uorescence microscope,Leica,66,No
799696,QiXhCZIBPBHhf-iF-GeS,hacat,Cytion,66,No
797271,KCPhCZIBPBHhf-iF0esy,emxplus,Bruker,66,No
740129,dCThCZIBPBHhf-iF2kyi,protease inhibitor mix,Merck Group,66,No
751958,XSPhCZIBPBHhf-iFtFPK,sanger sequencing,Thermo Fisher Scientific,66,No
128484,-iPhCZIBPBHhf-iFxpU9,hyperoside,Merck Group,66,No
894946,tiThCZIBPBHhf-iF2lCj,r 200,Büchi,66,No
690174,5yThCZIBPBHhf-iF7vvp,aquarius intuition,TeraRecon,66,No
753197,PCLhCZIBPBHhf-iFeO8t,hydrazine monohydrate,Merck Group,66,No
580767,-CPhCZIBPBHhf-iFxqM_,invia confocal raman microscope,Renishaw,66,No
870643,GyPhCZIBPBHhf-iFvIyP,anti cyclin a,Santa Cruz Biotechnology,66,No
870740,SSPhCZIBPBHhf-iFxo89,achieva dstream,Philips,66,No
599548,7SThCZIBPBHhf-iF4oxq,cd4 cre mice,Jackson ImmunoResearch,66,No
752508,-yPhCZIBPBHhf-iF0eUx,zinc oxide,Merck Group,66,No
754918,-CLhCZIBPBHhf-iFeOAr,facsaria iiu cell sorter,BD,66,No
844766,wyThCZIBPBHhf-iF6-WE,notch1,Abcam,66,No
726341,OCLhCZIBPBHhf-iFeNkq,p 97 micropipette puller,Sutter Instruments,66,No
878173,CiXhCZIBPBHhf-iF8jmA,cd40l,R&D Systems,66,No
856861,dCbiCZIBPBHhf-iFGPIJ,dustless precision pellets,Bio-Serv,66,No
579796,wyPhCZIBPBHhf-iFy7nh,streptavidin alexa fluor 647,Thermo Fisher Scientific,66,No
753245,-iThCZIBPBHhf-iF3lis,carbo free blocking solution,Vector Laboratories,66,No
750964,fibiCZIBPBHhf-iFErBG,laemmli loading buffer,Bio-Rad,66,No
799639,PSXhCZIBPBHhf-iF9V2h,trypsin edta,Sartorius,66,No
735110,iiXiCZIBPBHhf-iFAduI,ab179800,Abcam,66,No
760210,CyriCZIBPBHhf-iFRgqJ,spss statistics for macintosh version 25,IBM,66,No
801736,LyThCZIBPBHhf-iF2jae,480 real time pcr system,Roche,66,No
641174,vSThCZIBPBHhf-iF57Ny,dp71 microscope,Olympus,66,No
725362,hiPhCZIBPBHhf-iFxp4-,bst dna polymerase large fragment,New England Biolabs,66,No
792347,xiPhCZIBPBHhf-iFtEDG,cytofix cytoperm plus,BD,66,No
894093,OiThCZIBPBHhf-iF7vrp,hybond ecl membrane,Cytiva,66,No
779138,sCPhCZIBPBHhf-iFy8Pi,macconkey agar plate,Thermo Fisher Scientific,66,No
643551,BiPhCZIBPBHhf-iFy9Xk,lc 20ad hplc system,Shimadzu,66,No
454612,diPhCZIBPBHhf-iFqzea,puromycin dihydrochloride,Santa Cruz Biotechnology,66,No
592011,qyThCZIBPBHhf-iF69CB,horseradish peroxidase conjugated goat anti rabbit igg,Cell Signaling Technology,66,No
779166,tSPhCZIBPBHhf-iFnQwx,proteinase inhibitor cocktail,Thermo Fisher Scientific,66,No
790654,dyPhCZIBPBHhf-iFy83j,lasergene 7,DNASTAR,66,No
842337,ISPhCZIBPBHhf-iFtEfI,h 7500 electron microscope,Hitachi,66,No
794238,MCbiCZIBPBHhf-iFBCNP,lipofactamine 2000,Thermo Fisher Scientific,66,No
586073,ACThCZIBPBHhf-iF2jCd,tapestation 4150,Agilent Technologies,66,No
729942,ciniCZIBPBHhf-iFQsI8,high performance liquid chromatography (hplc),Bio-Rad,66,No
870913,gSPhCZIBPBHhf-iFxpQ9,k2 summit camera,Ametek,66,No
788830,fCPhCZIBPBHhf-iFxrBA,glutathione sepharose 4b column,GE Healthcare,66,No
753279,FCThCZIBPBHhf-iF3mCt,mini gel tank,Thermo Fisher Scientific,66,No
792348,eCXiCZIBPBHhf-iFAdiI,alexa fluor 647 protein labeling kit,Thermo Fisher Scientific,66,No
624448,_yPhCZIBPBHhf-iF0fAz,c raf,Cell Signaling Technology,66,No
628975,7yThCZIBPBHhf-iF2jCd,mosquito crystallization robot,SPT Labtech,66,No
391043,qCThCZIBPBHhf-iF1SW7,ms excel,GraphPad,66,No
780260,2CjiCZIBPBHhf-iFL5Hs,protean 2 xi cell,Bio-Rad,66,No
740194,SSThCZIBPBHhf-iF3muu,dipyridamole,Merck Group,66,No
455390,JSThCZIBPBHhf-iF1Sa7,brilliant violet 421,BioLegend,66,No
663618,hSThCZIBPBHhf-iF2kui,vertex 80v ftir spectrometer,Bruker,66,No
132723,piThCZIBPBHhf-iF4o5q,levulinic acid,Merck Group,66,No
602028,ESThCZIBPBHhf-iF69GB,dapi 4 6 diamidino 2 phenylindole,Vector Laboratories,66,No
753589,fyThCZIBPBHhf-iF56tx,abi quantstudio 5,Thermo Fisher Scientific,66,No
783114,1SThCZIBPBHhf-iF3m6u,human genome u219 array,Thermo Fisher Scientific,66,No
730426,QiPhCZIBPBHhf-iF0fo0,jsm 6380la,JEOL,66,No
727322,bCPhCZIBPBHhf-iFtEfI,image lab system,Bio-Rad,66,No
801283,MCPhCZIBPBHhf-iFtEHG,nebnext ultra 2 fs dna library prep kit,New England Biolabs,66,No
793458,VSPhCZIBPBHhf-iFxpQ9,celastrol,Merck Group,66,No
783119,eyPhCZIBPBHhf-iFqzCa,quantikine enzyme linked immunosorbent assay elisa kit,R&D Systems,66,No
731691,SSPhCZIBPBHhf-iFtEPH,fplc system,GE Healthcare,66,No
573288,pSThCZIBPBHhf-iF4oxq,sybergreen,Thermo Fisher Scientific,66,No
753061,0iXhCZIBPBHhf-iF-ISW,tryptone soya agar,Thermo Fisher Scientific,66,No
779648,vCziCZIBPBHhf-iFaVgu,protease inhibitor,Selleck Chemicals,66,No
475345,bCThCZIBPBHhf-iF2kih,mimics 19,Materialise,66,No
573291,ziPhCZIBPBHhf-iFqyyZ,rnalater reagent,Thermo Fisher Scientific,66,No
585324,IybiCZIBPBHhf-iFBA5N,sqstm1 p62,Abcam,66,No
608425,MybiCZIBPBHhf-iFB0Ab,agilent 1260 system,Agilent Technologies,66,No
868126,giPhCZIBPBHhf-iFtELH,anti myc 9e10,Santa Cruz Biotechnology,66,No
880425,oSThCZIBPBHhf-iF1SS7,bagmixer,Interscience,66,No
584461,vyThCZIBPBHhf-iF3mWt,gel doc xr imager,Bio-Rad,66,No
587085,hyThCZIBPBHhf-iF2jGe,nu j mice,Jackson ImmunoResearch,66,No
874443,9iThCZIBPBHhf-iF4oRp,nω nitro l arginine methyl ester l name,Merck Group,66,No
663239,_yXhCZIBPBHhf-iF_tBx,glomax navigator microplate luminometer,Promega,66,No
783139,aCThCZIBPBHhf-iF3nev,prl cmv vector,Promega,66,No
486465,FCPhCZIBPBHhf-iFy7jh,ldn193189,Selleck Chemicals,66,No
584620,DiThCZIBPBHhf-iF4olq,ecl plus,PerkinElmer,66,No
780604,ZyXhCZIBPBHhf-iF8jd_,crystal screen,Hampton Research,66,No
844259,dSLhCZIBPBHhf-iFeNsq,smart seq ht kit,Takara Bio,66,No
783145,ZCThCZIBPBHhf-iF4nlo,vectastain abc system,Vector Laboratories,66,No
841473,JyThCZIBPBHhf-iF2j-g,arvo mx,PerkinElmer,66,No
743255,p5oPdZQB1-hLfrUPWy1N,wpmy 1,American Type Culture Collection,66,No
792504,JiPhCZIBPBHhf-iFnQ8x,click it plus edu alexa fluor 488 flow cytometry assay kit,Thermo Fisher Scientific,66,No
637718,3CXhCZIBPBHhf-iF-6yE,γh2ax antibody,Merck Group,66,No
598742,PCThCZIBPBHhf-iF3nev,echomri 100,Echo Medical Systems,66,No
625613,ZSThCZIBPBHhf-iF1RG5,iq sybr supermix,Bio-Rad,66,No
600277,dSThCZIBPBHhf-iF56Bv,hiseq technology,Illumina,66,No
878735,ASThCZIBPBHhf-iF2jGd,ah plus sealer,Dentsply,66,No
759878,riThCZIBPBHhf-iF3nav,jmp software version 9,SAS Institute,66,No
573942,ZSPhCZIBPBHhf-iFnRIx,facscanto 1,BD,66,No
783741,GCbiCZIBPBHhf-iFBysZ,pgl3 luciferase reporter plasmid,Promega,66,No
731128,2yPhCZIBPBHhf-iF0fg0,dulbecco s modified eagle s medium dmem,American Type Culture Collection,66,No
584615,eiXhCZIBPBHhf-iF8hl8,wizard 2480,PerkinElmer,66,No
839688,xibiCZIBPBHhf-iFBykZ,tristar 2,Micromeritics,66,No
785316,pyXhCZIBPBHhf-iF-7CE,ki 67 antibody,Cell Signaling Technology,66,No
211434,kSPhCZIBPBHhf-iF0d4w,ab5131,Abcam,66,No
894979,6CPhCZIBPBHhf-iF0fU0,rotavapor r 100,Büchi,66,No
602494,kyThCZIBPBHhf-iF692D,c57bl 6j mice,Taconic Biosciences,66,No
731131,YiPhCZIBPBHhf-iF0fk0,ccl 34,American Type Culture Collection,66,No
793447,uifiCZIBPBHhf-iFH2xS,shrimp alkaline phosphatase,Thermo Fisher Scientific,66,No
578130,Ep3FHJMBdNj1hjtAk2F2,dvb car pdms fiber,Merck Group,66,No
573260,9iPhCZIBPBHhf-iFtFvL,multi gauge version 3,Fujifilm,66,No
581447,fSXiCZIBPBHhf-iFAdyI,sz 100 nanoparticle analyzer,Horiba,66,No
428406,byThCZIBPBHhf-iF6-2F,prism 5.0b,GraphPad,66,No
716685,XSXiCZIBPBHhf-iFAeuK,telazol,Zoetis,66,No
740713,sSPhCZIBPBHhf-iFtFnL,sodium dihydrogen phosphate monohydrate,Merck Group,66,No
797749,HSLhCZIBPBHhf-iFnf4v,chemidoc xrs gel documentation system,Bio-Rad,66,No
802884,YZ3FHJMBdNj1hjtAk3aJ,ultracut e microtome,Reichert Technologies,66,No
580328,xiXhCZIBPBHhf-iF-GOS,protein a g agarose,Merck Group,66,No
300959,dijiCZIBPBHhf-iFLUya,discovery studio 2020,Dassault Systèmes,66,No
752589,JyPhCZIBPBHhf-iF0eky,copper chloride,Merck Group,66,No
484067,oCLhCZIBPBHhf-iFeOss,quantstudio 3 pcr system,Thermo Fisher Scientific,66,No
720414,cyPhCZIBPBHhf-iF0dwv,statistical package for social sciences version,IBM,66,No
879673,wyThCZIBPBHhf-iF569x,timp 1,R&D Systems,66,No
638728,_iThCZIBPBHhf-iF2jif,supra 25,Zeiss,66,No
601463,viThCZIBPBHhf-iF58Fz,robosep,STEMCELL,66,No
801425,HSPhCZIBPBHhf-iFnQkw,sulfosalicylic acid,Merck Group,66,No
800190,FCPhCZIBPBHhf-iFqx6X,hydroxypropyl methylcellulose hpmc,Merck Group,66,No
132599,PybiCZIBPBHhf-iFGP0L,esg1107,Merck Group,66,No
791142,OifiCZIBPBHhf-iFHDrg,glutamax 1 supplement,Thermo Fisher Scientific,66,No
756234,kyThCZIBPBHhf-iF69iC,hmv 2,Shimadzu,66,No
455899,JCThCZIBPBHhf-iF2jOe,qiaamp dna tissue kit,Qiagen,66,No
586870,5iLhCZIBPBHhf-iFeOMr,cpg methyltransferase m sssi,New England Biolabs,66,No
454655,PCPhCZIBPBHhf-iFtEHH,ab4448,Abcam,66,No
580483,liPhCZIBPBHhf-iFtFjL,libra 120 tem,Zeiss,66,No
578211,hiPhCZIBPBHhf-iFxqg_,reagent kit v3,Illumina,66,No
755501,qSjiCZIBPBHhf-iFKRoB,optiphot 2 microscope,Nikon,66,No
591213,oSPhCZIBPBHhf-iFxpc9,rabbit anti gapdh antibody,Cell Signaling Technology,66,No
730240,OiLhCZIBPBHhf-iFeM8p,d glucose monohydrate,Merck Group,66,No
424750,BSXhCZIBPBHhf-iF_s9x,graph prism 8,GraphPad,66,No
751245,vijiCZIBPBHhf-iFN_Ug,muse cell analyser,Merck Group,66,No
793904,ASThCZIBPBHhf-iF58Fz,abi prism 7000 system,Thermo Fisher Scientific,66,No
871238,NyPhCZIBPBHhf-iFxp0-,du650 spectrophotometer,Beckman Coulter,66,No
893767,bSPhCZIBPBHhf-iFvIaO,superdex 200,Cytiva,66,No
759789,-yPhCZIBPBHhf-iFtEPH,jmp 5,SAS Institute,66,No
870522,6CPhCZIBPBHhf-iFvIiP,bright glo luciferase assay,Promega,66,No
648702,5CPhCZIBPBHhf-iFnQow,pcmv6 ac gfp,OriGene,66,No
653162,4ifiCZIBPBHhf-iFH4RV,fluotime 300,PicoQuant,66,No
792015,ayjiCZIBPBHhf-iFK0BJ,fluorescein isothiocyanate (fitc),Abcam,66,No
795525,gybiCZIBPBHhf-iFDWAc,uv vis spectrophotometer,Jasco,66,No
802954,8J3FHJMBdNj1hjtAk2d-,omega plate reader,BMG Labtech,66,No
880946,0SniCZIBPBHhf-iFO0Sr,hct116,Procell,66,No
877809,aSniCZIBPBHhf-iFORVd,chemray 240,Rayto,66,No
574201,qyThCZIBPBHhf-iF57Jx,prism 7.0b,GraphPad,66,No
801632,uSThCZIBPBHhf-iF1Si7,anti cd68,Agilent Technologies,66,No
734418,FiXhCZIBPBHhf-iF8jR_,antifade solution,Vector Laboratories,66,No
722659,jyfiCZIBPBHhf-iFJNET,western lightning plus ecl kit,PerkinElmer,66,No
794641,7CPhCZIBPBHhf-iFy8rj,sdf 1,Thermo Fisher Scientific,66,No
844796,KyThCZIBPBHhf-iF1Qq4,optima tlx ultracentrifuge,Beckman Coulter,66,No
743693,gyThCZIBPBHhf-iF68qA,na pyruvate,Merck Group,66,No
239328,MSjiCZIBPBHhf-iFL5fs,trypsinized,Thermo Fisher Scientific,66,No
843277,YSPhCZIBPBHhf-iF0fk0,fla 3000,Fujifilm,66,No
792026,qyPhCZIBPBHhf-iFxqI_,sodium carbonate,Avantor,66,No
781032,XCriCZIBPBHhf-iFSkrQ,human gene 2.1 st array,Thermo Fisher Scientific,66,No
879675,oiPhCZIBPBHhf-iFnRMx,poly bed 812 resin,Polysciences,66,No
650067,hyfiCZIBPBHhf-iFGi6C,maxwell 16 system,Promega,66,No
587405,XCXhCZIBPBHhf-iF9WCh,control igg,Cell Signaling Technology,65,No
637531,2yXiCZIBPBHhf-iFAfeL,0.22 μm pore filter,Merck Group,65,No
755083,5yPhCZIBPBHhf-iFnQMw,reichert ultracut s,Leica,65,No
868218,CCPhCZIBPBHhf-iFtEXH,hrp 60004,Proteintech,65,No
731174,myPhCZIBPBHhf-iFvG2K,itlc sg,Agilent Technologies,65,No
474660,_SbiCZIBPBHhf-iFGOsJ,discovery hybrid rheometer,TA Instruments,65,No
587423,PSXhCZIBPBHhf-iF-GSS,uv 160 spectrophotometer,Shimadzu,65,No
837087,JybiCZIBPBHhf-iFGPYK,stannous octoate,Merck Group,65,No
581288,NSThCZIBPBHhf-iF56Bv,image reader las 4000,Fujifilm,65,No
878965,FSPhCZIBPBHhf-iFqzWa,intera scanner,Philips,65,No
784617,YSPhCZIBPBHhf-iFnRIx,nad nadh glo assay kit,Promega,65,No
602382,hCThCZIBPBHhf-iF69qC,p jnk1 2,Cell Signaling Technology,65,No
736560,NyPhCZIBPBHhf-iF0f01,tissue microarrayer,Beecher Instruments,65,No
801426,wCPhCZIBPBHhf-iFnQkw,bovine liver catalase,Merck Group,65,No
842186,HCbiCZIBPBHhf-iFBA9N,qcl 1000,Lonza,65,No
644201,qSPhCZIBPBHhf-iF0ecx,si control,GenePharma,65,No
878169,ryPhCZIBPBHhf-iFnQwx,dhr 1,TA Instruments,65,No
742508,qSLhCZIBPBHhf-iFeM8p,fluorescent microscopy,Leica,65,No
800026,1poPdZQB1-hLfrUPlUH4,hela ccl 2,American Type Culture Collection,65,No
756356,LCThCZIBPBHhf-iF4oxq,spss 20 statistical software,IBM,65,No
602565,CCThCZIBPBHhf-iF69-D,labchart pro software,ADInstruments,65,No
205531,NyThCZIBPBHhf-iF57py,pcmvr8,Addgene,65,No
873137,QSLhCZIBPBHhf-iFeOAr,sodium hyaluronate,Lifecore Biomedical,65,No
572140,hiPhCZIBPBHhf-iFy7vh,rhegf,Thermo Fisher Scientific,65,No
640506,CiThCZIBPBHhf-iF56dw,cell d software,Olympus,65,No
840899,BSPhCZIBPBHhf-iFtE7J,iris digital cell imaging system,Logos Biosystems,65,No
732149,pZ3FHJMBdNj1hjtA0oBe,1 2 dioleoyl sn glycero 3 phospho l serine,Avanti Polar Lipids,65,No
655853,gCXhCZIBPBHhf-iF8hV8,anti α sma,Santa Cruz Biotechnology,65,No
598633,9yThCZIBPBHhf-iF3nOv,agar 100 resin,Agar Scientific,65,No
799300,WiXhCZIBPBHhf-iF8jB_,enzychrom nad nadh assay kit,BioAssay Systems,65,No
730167,xCPhCZIBPBHhf-iFxpw-,pierce bca protein kit,Thermo Fisher Scientific,65,No
591223,1yPhCZIBPBHhf-iFqy6Z,sep pak plus c18 cartridge,Waters Corporation,65,No
867775,kiPhCZIBPBHhf-iFqzea,yap taz,Cell Signaling Technology,65,No
752115,JCXhCZIBPBHhf-iF9Uee,pcdna3,Promega,65,No
735513,gybiCZIBPBHhf-iFB0wc,ab59479,Abcam,65,No
599135,OSThCZIBPBHhf-iF4oFp,sn 38,Merck Group,65,No
870524,9yPhCZIBPBHhf-iFvIiP,matlab 2021b,MathWorks,65,No
787976,DCPhCZIBPBHhf-iFnQQw,protector rnase inhibitor,Roche,65,No
878632,biThCZIBPBHhf-iF3miu,annexin 5 fitc kit,Beyotime,65,No
643138,pyPhCZIBPBHhf-iFy8ji,titan g2 60 300,Thermo Fisher Scientific,65,No
742933,rSThCZIBPBHhf-iF3nav,minion device,Oxford Nanopore,65,No
867828,WCPhCZIBPBHhf-iFqzmb,hitrap sp hp,GE Healthcare,65,No
877557,OCPhCZIBPBHhf-iFxrBA,7 amino actinomycin 7 aad,BD,65,No
599184,iCThCZIBPBHhf-iF4oJp,il 23,BioLegend,65,No
787986,lCjiCZIBPBHhf-iFN_If,pgl3 reporter vector,Promega,65,No
870545,XCPhCZIBPBHhf-iFvImP,7300 sequence detection system,Thermo Fisher Scientific,65,No
877560,_SbiCZIBPBHhf-iFBBxP,sybr green real time pcr master mix,Bio-Rad,65,No
801232,ESPhCZIBPBHhf-iFqx-Y,cobas integra,Roche,65,No
742915,SybiCZIBPBHhf-iFFduH,infinite m200 pro multimode microplate reader,Tecan,65,No
581449,wyXiCZIBPBHhf-iFAdyJ,dulbecco s modified eagle s medium high glucose,Merck Group,65,No
644429,ACPhCZIBPBHhf-iF0e8z,mnase,Merck Group,65,No
867632,qSPhCZIBPBHhf-iFqzKa,sb431542,R&D Systems,65,No
838880,ByPhCZIBPBHhf-iF0fw1,typhoon 9410 imager,GE Healthcare,65,No
601680,5SThCZIBPBHhf-iF68d_,draq5,Abcam,65,No
785418,tSPhCZIBPBHhf-iFqyaZ,rat anti mouse cd31 antibody,BD,65,No
644157,VyPhCZIBPBHhf-iF0eYx,m mlv rtase cdna synthesis kit,Takara Bio,65,No
838899,gSThCZIBPBHhf-iF2jGe,progynova,Bayer,65,No
730305,nCPhCZIBPBHhf-iF0e4y,vcx 500,Sonics,65,No
213524,-ifiCZIBPBHhf-iFJuKr,ab79559,Abcam,65,No
573391,PSXhCZIBPBHhf-iF-HWU,cell lytic m,Merck Group,65,No
213548,JSfiCZIBPBHhf-iFJums,ab209847,Abcam,65,No
132587,gCPhCZIBPBHhf-iFvIOO,caski,Thermo Fisher Scientific,65,No
791929,USThCZIBPBHhf-iF7v7q,murine leukemia virus reverse transcriptase,Thermo Fisher Scientific,65,No
868741,wCPhCZIBPBHhf-iFtFTK,anti pd 1,BioXCell,65,No
584627,nyThCZIBPBHhf-iF4opq,cd86 pe,BioLegend,65,No
881410,dyThCZIBPBHhf-iF3mGt,magna pure 96 dna and viral na small volume kit,Roche,65,No
733494,KCThCZIBPBHhf-iF2kmi,acid phosphatase kit,Merck Group,65,No
281256,DCniCZIBPBHhf-iFO1St,ta hd plus,Stable Micro Systems,65,No
754810,fiPhCZIBPBHhf-iFy9Pk,ultrasybr mixture,CoWin Biotech,65,No
637723,7SXhCZIBPBHhf-iF-HSU,alexa fluor 568 secondary antibody,Thermo Fisher Scientific,65,No
870762,1yPhCZIBPBHhf-iFxo89,protein a agarose beads,Cell Signaling Technology,65,No
640731,ZiPhCZIBPBHhf-iFxqc_,osteosoft,Merck Group,65,No
599505,sSThCZIBPBHhf-iF4otq,sdf 1,R&D Systems,65,No
656594,cyXhCZIBPBHhf-iF8ih-,atplite assay,PerkinElmer,65,No
571987,liThCZIBPBHhf-iF58Rz,dfc350 fx camera,Leica,65,No
870783,qSPhCZIBPBHhf-iFxpA9,c caspase 3,Cell Signaling Technology,65,No
785795,HyThCZIBPBHhf-iF1Si7,anti vimentin antibody,Abcam,65,No
743060,-iThCZIBPBHhf-iF1QO4,goscript reverse transcriptase system,Promega,65,No
743076,yZoPdZQB1-hLfrUPWytG,h1703,American Type Culture Collection,65,No
585021,tyThCZIBPBHhf-iF7vrp,biotinylated horse anti mouse igg,Vector Laboratories,65,No
780846,sCThCZIBPBHhf-iF2jmf,glutathione sepharose resin,GE Healthcare,65,No
759876,biPhCZIBPBHhf-iFxpo-,spss statistical package version 23,IBM,65,No
